sentences,number of words,acc for intensity 0,SNR for intensity 0,acc for intensity 0.1,SNR for intensity 0.1,acc for intensity 0.2,SNR for intensity 0.2,acc for intensity 0.3,SNR for intensity 0.3,acc for intensity 0.4,SNR for intensity 0.4,acc for intensity 0.5,SNR for intensity 0.5,acc for intensity 0.6,SNR for intensity 0.6,acc for intensity 0.7,SNR for intensity 0.7,acc for intensity 0.8,SNR for intensity 0.8,acc for intensity 0.9,SNR for intensity 0.9,acc for intensity 1.0,SNR for intensity 1.0
o půlnoci odešla velká británie z evropské unie stalo se tak následkem referenda ve kterém byl výsledek v mezích statistické chyby následek  rozdělený národ hrozba rozpadu země posíleny odstředivé proudy nejistá budoucnost nejistota ,33,0.9393939393939394,,0.8787878787878788,24.432469881995623,0.8787878787878788,12.391270055436376,0.8787878787878788,5.347621786901185,0.7575757575757576,0.3500702288771286,0.5151515151515151,-3.526329811799356,0.3333333333333333,-6.693578039658062,0.21212121212121213,-9.371450075473133,0.12121212121212122,-11.691129597682117,0.06060606060606061,-13.737226456231635,0.06060606060606061,-15.567529638358604
 to jsou mnohokrát opakovaná fakta ,5,1.0,,1.0,25.68378755666135,1.0,13.6425877301021,0.6,6.598938005436592,0.6,1.6013879035428533,0.4,-2.275014912001282,0.4,-5.4422618211226546,0.2,-8.12013334128986,0.2,-10.439811923016393,0.2,-12.485913529313526,0.2,-14.31621473856053
 vina je na junckerově vedení unie které nebylo ochotno přistoupit na jednoduchou tezi že členské státy unie mají mít právo rozhodovat o tom kdo může a nemůže fungovat na jejich území a účastnit se systému sociální podpory to byl zásadní britský požadavek ten byl zamítnut ve prospěch prosazování fikce o jednolitém evropském prostoru takže odešla pátá největší ekonomika světa ,59,1.0,,0.9322033898305084,24.106514592704144,0.9152542372881356,12.065314766144898,0.8813559322033898,5.021668380211592,0.711864406779661,0.0241149395856484,0.4745762711864407,-3.8522814370197187,0.2711864406779661,-7.019531446347655,0.1694915254237288,-9.69740520123656,0.06779661016949153,-12.017084886973599,0.06779661016949153,-14.063181715562159,0.05084745762711865,-15.893481263578968
 co bude dál  ,3,0.6666666666666666,,0.6666666666666666,26.023488189586217,0.6666666666666666,13.98228836302697,0.6666666666666666,6.938637571920854,0.6666666666666666,1.9410885364677224,0.6666666666666666,-1.9353127558364802,0.6666666666666666,-5.102562254638395,0.0,-7.780433174663038,0.0,-10.100111290091524,0.0,-12.146211663801466,0.0,-13.976512582395728
 to nikdo neví půlnoční odchod neznamená nic jiného než že výsledek toho těsného referenda platí je to absurdní je to hanba je to zavrženíhodné ale je to tak ,28,1.0,,0.9642857142857143,24.512831077390352,0.9642857142857143,12.471631250831106,0.9642857142857143,5.427976867653973,0.7857142857142857,0.43043142427185765,0.6071428571428571,-3.4459684756751088,0.5357142857142857,-6.613222958905274,0.32142857142857145,-9.291090206661922,0.07142857142857142,-11.610768402287391,0.17857142857142858,-13.656868598111839,0.07142857142857142,-15.487168302234355
 napříště budeme ušetřeni trapných - televizí přenášených - parlamentních tahanic ale nejistota zůstala včetně hrozby tvrdého brexitu se cly a nedejbože vízy na hranicích ,24,0.9166666666666666,,0.7916666666666666,23.460075311655416,0.75,11.41887548509617,0.6666666666666666,4.37522523495697,0.5416666666666666,-0.6223243414630791,0.5833333333333334,-4.4987222389245645,0.375,-7.665974591602279,0.2916666666666667,-10.34384379781477,0.08333333333333333,-12.663524168022327,0.08333333333333333,-14.709620769207923,0.08333333333333333,-16.53992206548381
 vedení unie nepochybně selhalo a otevřelo společenství ránu pod čarou ponoru bez známky sebereflexe bez ochoty vzít na sebe odpovědnost ,20,1.0,,1.0,24.883153596916138,0.95,12.841953770356891,0.75,5.798298924845707,0.55,0.8007539437976432,0.45,-3.075648882213783,0.1,-6.242900901713542,0.05,-8.920769180026236,0.05,-11.240445882761602,0.05,-13.28654806159536,0.05,-15.11684870877303
 nicméně ani to není podstatné ,5,1.0,,1.0,21.78335068659701,1.0,9.742150860037764,0.8,2.6985027935624615,0.6,-2.299048966521484,0.6,-6.175450440463602,0.4,-9.342697032996787,0.4,-12.02056958409505,0.4,-14.340248793080733,0.0,-16.386348572532803,0.0,-18.21665026702285
 je třeba se na situaci dívat realisticky ,7,1.0,,1.0,24.507616889325806,1.0,12.46641706276656,1.0,5.422766306392387,1.0,0.4252172362073109,0.8571428571428571,-3.4511858854843047,0.5714285714285714,-6.618433520166861,0.42857142857142855,-9.296304301009895,0.2857142857142857,-11.615982590351937,0.2857142857142857,-13.662086042902853,0.0,-15.492385712043554
 i v této turbulentní době se ozývají hlasy prosazující jakési reformy evropských institucí ničeho nedosáhnou nenastanou žádné reformy není to žádná škoda reforem není třeba protože kořen zla je jinde ,30,1.0,,1.0,25.812709140128298,1.0,13.77150931356905,1.0,6.727861468727413,0.9333333333333333,1.7303094870098024,0.8,-2.1460891813923264,0.36666666666666664,-5.313338357831833,0.2,-7.991209103183092,0.16666666666666666,-10.310890339549445,0.16666666666666666,-12.356986093221142,0.06666666666666667,-14.187289007951573
